AccountCode,Description,SubTotal,TotalTax,TotalAmount,Date,DueDate,Status,Type,CurrencyCode,InvoiceID
5003,.,8707.99,0.0,8707.99,2021-07-01,2021-08-01,PAID,ACCPAY,GBP,9e29ecfa-3fd6-43df-9436-211d3263799d
4002,CLOSED MULE SLIPPERS SUEDE CHESTNUT S (37-38),120.0,24.0,144.0,2021-07-11,2021-07-11,PAID,ACCREC,GBP,83df482f-c687-4008-a5a5-5ab40211cfe9
4002,MULE SLING BACK PINK 7 (40),59.33,11.87,71.2,2021-07-12,2021-07-12,PAID,ACCREC,GBP,1cf5911c-e7c4-40e6-a4b7-62bcfbf4ac98
6200,.,20.0,4.0,24.0,2021-07-01,2021-08-01,PAID,ACCPAY,GBP,4bed765e-6af2-476c-8c58-ba2760b740c6
7607,Admin Cost - USA Hours,2500.0,0.0,2500.0,2021-07-05,2021-08-05,PAID,ACCPAY,GBP,3899fdc7-3687-4a40-8fdd-7aaa8592b57c
6201,Winter Shoot,6500.0,1300.0,7800.0,2021-07-14,2021-07-16,PAID,ACCPAY,GBP,16d2aa46-8955-4593-a7dc-148a08c972b1
6201,.,527.52,0.0,527.52,2021-07-22,2021-08-22,PAID,ACCPAY,GBP,371f6157-0a32-45fc-ad5b-1c945c6f51e8
6201,.,2050.0,410.0,2460.0,2021-07-16,2021-07-23,PAID,ACCPAY,GBP,da2c85fb-6f75-4c91-ba28-b902daac7191
6200,CLOSED MULE SLIPPED PRINT COW SPLAT S (37-38),0.0,0.0,0.0,2021-07-13,2021-07-13,PAID,ACCREC,GBP,f4e84353-82d5-4292-96fb-bc3d09327d08
4002,COSY X SHORT BUFF LEATHER SADDLE 6 (39),57.5,11.5,69.0,2021-07-19,2021-07-19,PAID,ACCREC,GBP,0cb05d3c-9491-4efc-81e9-6aa825c9dd08
4002,MUCHAS BUFF LEATHER WHISKY 7 (40),71.67,14.33,86.0,2021-07-21,2021-07-21,PAID,ACCREC,GBP,7f77ad3b-5a1d-4884-8de6-f26c0516dab0
4000,Sales Invoice,58.54,11.71,70.25,2021-07-26,2021-07-26,VOIDED,ACCREC,GBP,c903185c-adf9-4d22-b286-d919edfaff1d
4000,Sales Invoice,150.0,20.0,170.0,2021-07-26,2021-07-26,VOIDED,ACCREC,GBP,9e16f70a-6401-4e41-bba1-472d070d99a1
4000,Sales Invoice,502.45,100.49,602.94,2021-07-26,2021-07-26,VOIDED,ACCREC,GBP,a3df631b-ed86-4d9f-a3e8-fde38cf7421a
