Type,ContactName,Date,RemainingCredit,AllocationAmount,AllocationDate,AllocationInvoiceNumber,Status,LineAmountTypes,Description,AccountCode,Subtotal,TotalTax,Total,PrepaymentID
SPEND-PREPAYMENT,Physiotec,2018-04-03,0.0,79.0,2018-04-08,,PAID,NoTax,Exercise software,620,237.0,0.0,237.0,1217555e-201c-40dd-99af-ada283ccd119
SPEND-PREPAYMENT,Physiotec,2018-04-03,0.0,79.0,2018-05-08,,PAID,NoTax,Exercise software,620,237.0,0.0,237.0,1217555e-201c-40dd-99af-ada283ccd119
SPEND-PREPAYMENT,Physiotec,2018-04-03,0.0,79.0,2018-06-08,,PAID,NoTax,Exercise software,620,237.0,0.0,237.0,1217555e-201c-40dd-99af-ada283ccd119
SPEND-PREPAYMENT,Leighton Consultants,2018-06-29,0.0,1100.0,2018-07-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,a4b8deb3-c89d-45ed-9720-ea00a5f2b9b4
SPEND-PREPAYMENT,Leighton Consultants,2018-06-29,0.0,1100.0,2018-08-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,a4b8deb3-c89d-45ed-9720-ea00a5f2b9b4
SPEND-PREPAYMENT,Leighton Consultants,2018-06-29,0.0,1100.0,2018-09-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,a4b8deb3-c89d-45ed-9720-ea00a5f2b9b4
SPEND-PREPAYMENT,PRS/PPL,2018-05-29,0.0,9.98,2018-06-01,Gap Licence Moulton PPL PRS,PAID,NoTax,Gap Licence for music,620,49.92,0.0,49.92,a5626047-060a-4eea-9e09-3ed2e335718e
SPEND-PREPAYMENT,PRS/PPL,2018-05-29,0.0,9.98,2018-07-01,Gap Licence Moulton PPL PRS,PAID,NoTax,Gap Licence for music,620,49.92,0.0,49.92,a5626047-060a-4eea-9e09-3ed2e335718e
SPEND-PREPAYMENT,PRS/PPL,2018-05-29,0.0,9.98,2018-08-01,Gap Licence Moulton PPL PRS,PAID,NoTax,Gap Licence for music,620,49.92,0.0,49.92,a5626047-060a-4eea-9e09-3ed2e335718e
SPEND-PREPAYMENT,PRS/PPL,2018-05-29,0.0,9.98,2018-09-01,Gap Licence Moulton PPL PRS,PAID,NoTax,Gap Licence for music,620,49.92,0.0,49.92,a5626047-060a-4eea-9e09-3ed2e335718e
