Codes,Name
,Santander Savings ...8605
,Petty Cash
001,Sales
002,PMI
003,CI
004,Self Payer
005,Consumables
006,Packages
007,NHS
008,Gift Vouchers
009,Corporate
010,Sports Teams
011,Podiatry Consumables 
012,Administration Fee
013,Injections
014,Occupational Health
015,Podiatry Stock
016,Rental Income - Ryedale
017,Sales reconciliation - adjustment
018,BBC FIT
019,Mike – GD sales
101,Cost of Consumables
102,Commission Paid
103,Stock (tape etc)
103-1,Stock (office equipment)
104,Equipment
105,Cost of Podiatry Consumables
106,Opening stock
107,Stock Movement
108,Cost of injection consumables
109,Pilates Costs
110,Treatment Room Set Up Cost
111,Pilates Group Classes
112,Paediatrics cost of consumables
114,Gym Set Up Costs
150,Subcontractor Costs
151,Therapist Salaries
152,Therapist Ers NIC
153,Therapists Ers Pension
154,Podiatrists Salaries
155,Podiatrists Ers NIC
156,Podiatrists Ers Pension
157,COS - Furloughed Salary costs
325,Direct Expenses
399,Gifts
400,Advertising Literature
400-1,Advertising Photographs
400-2,Company Branding
400-3,Google Adwords advertising
400-4,Magazine Advertising
400-5,Advertising postage
400-6,Mailchimp Advertising
400-7,Website
400-8,Marketing Consulting
400-9,Facebook posts
401,Accountancy fees
401-1,Bank/Finance Charges
401-2,Legal and Professional Fees
401-3,Valuations & surveys
401-4,Planning
401-5,Architecture Fees
401-6,Tax Investigation
401-7,Hire purchase interest
402,Bookkeeping Software
408-1,Cleaning Service
408-2,Laundry
408-3,Cleaning Supplies & Equipment
408-4,Window Cleaning
408-5,Waste disposal
408-6,Tudor Court Service Charge
408-7,Sanitary & Clinical Waste Disposal
408-8,PPE
409-1,Health & Safety 
409-2,Fire Extinguisher Maintenance & Service 
409-3,Human Resources 
411,Servicing And repairs of Equipment
412,Consulting
413-1,IT Equipment 
413-2,Clinic Room Equipment
413-3,Events equipment/supplies
413-4,Bedding & Towels
413-5,Office Equipment 
413-6,Signage
414,Amortisation of Intangibles
415,Depreciation on Physio Equipment
416,Depreciation on Computer Equipment
416-1,Depreciation on Website Design
416-2,Profit / loss on disposal of assets
416-3,Depreciation on motor vehicles
417,Depreciation on Furniture
418,Charitable and Political Donations
419,Staff Gifts
420,Staff Entertaining
421,Staff meetings
