Date,Status,LineAmountType,Narration,AccountCode,LineAmount,Description,ManualJournalID
2018-04-01,POSTED,NoTax,Reversal: closing stock per client,701,-1256.66,closing stock per client,cae9898e-5c8e-46a3-885f-187eb0607ba7
2018-04-01,POSTED,NoTax,Reversal: closing stock per client,107,1256.66,closing stock per client,cae9898e-5c8e-46a3-885f-187eb0607ba7
2018-04-01,POSTED,NoTax,Reversal: closing stock per client,701,-1524.92,closing stock per client,cae9898e-5c8e-46a3-885f-187eb0607ba7
2018-04-01,POSTED,NoTax,Reversal: closing stock per client,107,1524.92,closing stock per client,cae9898e-5c8e-46a3-885f-187eb0607ba7
2018-04-30,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.87,CSP Subscriptions - Sam,330a40cb-f1e5-4aa6-8aa5-418a20c453c5
2018-04-30,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.86,CSP Subscriptions - Sam,330a40cb-f1e5-4aa6-8aa5-418a20c453c5
2018-04-30,POSTED,NoTax,CSP Subscriptions - Sam,485,14.87,CSP Subscriptions - Sam,330a40cb-f1e5-4aa6-8aa5-418a20c453c5
2018-04-30,POSTED,NoTax,CSP Subscriptions - Sam,485,14.86,CSP Subscriptions - Sam,330a40cb-f1e5-4aa6-8aa5-418a20c453c5
2018-05-01,POSTED,NoTax,Reversal: closing stock per client,701,-1103.0,closing stock per client,44608af9-7754-4520-9f5e-8d17efd9f711
2018-05-01,POSTED,NoTax,Reversal: closing stock per client,107,1103.0,closing stock per client,44608af9-7754-4520-9f5e-8d17efd9f711
2018-05-01,POSTED,NoTax,Reversal: closing stock per client,701,-1358.37,closing stock per client,44608af9-7754-4520-9f5e-8d17efd9f711
2018-05-01,POSTED,NoTax,Reversal: closing stock per client,107,1358.37,closing stock per client,44608af9-7754-4520-9f5e-8d17efd9f711
2018-04-30,POSTED,NoTax,closing stock per client,701,1103.0,closing stock per client,9dcad5f9-355a-4f0a-a481-81ddd52f5922
2018-04-30,POSTED,NoTax,closing stock per client,107,-1103.0,closing stock per client,9dcad5f9-355a-4f0a-a481-81ddd52f5922
2018-04-30,POSTED,NoTax,closing stock per client,701,1358.37,closing stock per client,9dcad5f9-355a-4f0a-a481-81ddd52f5922
2018-04-30,POSTED,NoTax,closing stock per client,107,-1358.37,closing stock per client,9dcad5f9-355a-4f0a-a481-81ddd52f5922
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,901,-10.36,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,902,-199.33,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,496,209.69,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,901,-10.37,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,902,-199.33,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,496,209.7,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,902-1,-241.2,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,601,241.2,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,902-1,-241.2,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-04-30,POSTED,NoTax,Loan and Mortgage Interest,601,241.2,Loan and Mortgage Interest,756b54f0-7a83-437c-a778-206f67304125
2018-05-31,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.87,CSP Subscriptions - Sam,abc9a918-a7b2-4b64-8669-f9281fdfb30c
2018-05-31,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.86,CSP Subscriptions - Sam,abc9a918-a7b2-4b64-8669-f9281fdfb30c
2018-05-31,POSTED,NoTax,CSP Subscriptions - Sam,485,14.87,CSP Subscriptions - Sam,abc9a918-a7b2-4b64-8669-f9281fdfb30c
2018-05-31,POSTED,NoTax,CSP Subscriptions - Sam,485,14.86,CSP Subscriptions - Sam,abc9a918-a7b2-4b64-8669-f9281fdfb30c
2018-06-01,POSTED,NoTax,Reversal: closing stock per client,701,-1084.34,closing stock per client,7d2b0ba5-c029-45a0-b8ab-e08b935cccbd
2018-06-01,POSTED,NoTax,Reversal: closing stock per client,107,1084.34,closing stock per client,7d2b0ba5-c029-45a0-b8ab-e08b935cccbd
2018-06-01,POSTED,NoTax,Reversal: closing stock per client,701,-1408.84,closing stock per client,7d2b0ba5-c029-45a0-b8ab-e08b935cccbd
2018-06-01,POSTED,NoTax,Reversal: closing stock per client,107,1408.84,closing stock per client,7d2b0ba5-c029-45a0-b8ab-e08b935cccbd
2018-05-31,POSTED,NoTax,closing stock per client,701,1084.34,closing stock per client,36d08020-91f8-442d-9349-56590b0e7d48
2018-05-31,POSTED,NoTax,closing stock per client,107,-1084.34,closing stock per client,36d08020-91f8-442d-9349-56590b0e7d48
2018-05-31,POSTED,NoTax,closing stock per client,701,1408.84,closing stock per client,36d08020-91f8-442d-9349-56590b0e7d48
